AÑO;CVU (a partir de 2003);EXPEDIENTE;NOMBRE DE LA INVESTIGADORA O INVESTIGADOR;NOBILIS;NIVEL;FECHA DE INICIO DE VIGENCIA;FECHA DE FIN DE VIGENCIA;ÁREA DEL CONOCIMIENTO;DISCIPLINA (a partir de 1991);SUBDISCIPLINA (a partir de 1991);ESPECIALIDAD (a partir de 1991);INSTITUCIÓN DE ADSCRIPCIÓN (a partir de 1990);DEPENDENCIA (a partir de 1991);"ENTIDAD FEDERATIVA ADSCRIPCIÓN
(a partir de 1990)";"PAIS ADSCRIPCIÓN 
(a partir de 1990)"
2009;72396;11905;ABARCA ARENAS, LUIS GERARDO;DR.;1;01/01/2007;31/12/2009;II.- BIOLOGÍA Y QUÍMICA;CIENCIAS DE LA VIDA;;ECOLOGIA TEORICA Y REDES TROFICAS;UNIVERSIDAD VERACRUZANA;CENTRO DE ECOLOGIA Y PESQUERIAS;VERACRUZ DE IGNACIO DE LA LLAVE;MÉXICO
2009;38286;40493;ABASCAL MENA, MARIA DEL ROCIO;DRA.;C;01/01/2008;31/12/2010;VII.- INGENIERÍAS ;CIENCIAS DE LA TECNOLOGIA;;TECNOLOGIAS DE LA INFORMACION;UNIVERSIDAD AUTONOMA METROPOLITANA;UNIDAD CUAJIMALPA;CIUDAD DE MÉXICO;MÉXICO
2009;36643;44168;ABASOLO PALACIO, VICTOR ENRIQUE;DR.;C;01/01/2009;31/12/2011;IV.- HUMANIDADES Y CIENCIAS DE LA CONDUCTA;ANTROPOLOGIA;;ECOLOGIA CULTURAL;UNIVERSIDAD VERACRUZANA;No Disponible;VERACRUZ DE IGNACIO DE LA LLAVE;MÉXICO
2009;203026;40046;ABATAL, MOHAMED;DR.;C;01/01/2007;31/12/2009;I.- FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA;FISICA;;;INSTITUTO NACIONAL DE INVESTIGACIONES NUCLEARES;GERENCIA DE CIENCIA BASICA;MÉXICO;MÉXICO
2009;13070;13070;ABITIA CARDENAS, LEONARDO ANDRES;DR.;1;01/01/2006;31/12/2009;VI.- BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS;CIENCIAS AGRONOMICAS Y VETERINARIAS;DINAMICA DE POBLACION;TAXONOMIA Y ECOLOGIA DE PECES;INSTITUTO POLITÉCNICO NACIONAL;CENTRO INTERDISCIPLINARIO DE CIENCIAS MARINAS;BAJA CALIFORNIA SUR;MÉXICO
2009;5885;5885;ABOITES AGUILAR, JAIME;DR.;3;01/01/2005;31/12/2009;V.- CIENCIAS SOCIALES;CIENCIAS ECONOMICAS;ECONOMIA INDUSTRIAL;DESARROLLO TECNOLOGICO;UNIVERSIDAD AUTONOMA METROPOLITANA;DIVISION DE CIENCIAS SOCIALES Y HUMANIDADES. XOCHIMILCO;CIUDAD DE MÉXICO;MÉXICO
2009;8479;8479;ABOITES AGUILAR, LUIS;DR.;2;01/01/2005;31/12/2009;IV.- HUMANIDADES Y CIENCIAS DE LA CONDUCTA;HISTORIA;HISTORIA SOCIAL;HISTORIA DE LOS APROVECHAMIENTOS HIDRAULICOS;EL COLEGIO DE MEXICO, A.C.;CENTRO DE ESTUDIOS HISTORICOS;CIUDAD DE MÉXICO;MÉXICO
2009;10132;10132;ABOITES MANRIQUE, GILBERTO;DR.;1;01/01/2009;31/12/2012;V.- CIENCIAS SOCIALES;SOCIOLOGIA;SOCIOLOGIA RURAL;;UNIVERSIDAD AUTONOMA DE COAHUILA;CENTRO DE INVESTIGACIONES SOCIOECONOMICAS;COAHUILA DE ZARAGOZA;MÉXICO
2009;4341;4341;ABOITES MANRIQUE, VICENTE;DR.;2;01/01/2006;31/12/2010;I.- FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA;FISICA;OPTICA;LASERES Y OPTO-ELECTRONICA;CENTRO DE INVESTIGACIONES EN OPTICA, A.C. (CIO);AREA DE INVESTIGACION;GUANAJUATO;MÉXICO
2009;214140;46592;ABONCE MEZA, RAMON;DR.;1;01/01/2009;31/12/2011;IV.- HUMANIDADES Y CIENCIAS DE LA CONDUCTA;ARTES Y LETRAS;;NUEVO URBANISMO;INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY;CAMPUS QUERETARO;QUERÉTARO;MÉXICO
2009;225816;43836;ABRANTES PEGO, RAQUEL;DRA.;1;01/01/2009;31/12/2011;V.- CIENCIAS SOCIALES;SOCIOLOGIA;;DOCTORA EN CIENCIAS SOCIALES;CONFERENCIA INTERAMERICANA DE SEGURIDAD SOCIAL;No Disponible;CIUDAD DE MÉXICO;MÉXICO
